4:412  0:382  Found UEFI Acpi 2.0 RSDP at 8CFFD014
4:412  0:000  Saving ACPI tables from RSDP 8CFFD014 to EFI\CLOVER\ACPI\origin ...
4:412  0:000   8CFFD014: 'RSD PTR ', Rev: 2 (Acpi 2.0 or newer), Len: 36 -> RSDP.aml
4:423  0:010    (Xsdt: 8CFC0188, Rsdt: 8CFC00C4)
4:423  0:000    8CFC0188: 'XSDT', 'XMCC1703', Rev: 1, Len: 244 -> XSDT.aml
4:432  0:008    8CFC00C4: 'RSDT', 'XMCC1703', Rev: 1, Len: 140 -> RSDT.aml
4:441  0:008    Tables in Xsdt: 26
4:441  0:000    0. 8CFE9000: 'FACP', 'XMCC1703', Rev: 5, Len: 268 -> FACP.aml
4:449  0:008        (Dsdt: 8CFC4000, Facs: 8CF55000, XDsdt: 8CFC4000, XFacs: 0)
4:449  0:000        8CFC4000: 'DSDT', 'XMCC1703', Rev: 2, Len: 133274 -> DSDT.aml
4:469  0:019        8CF55000: 'FACS', Ver: 2, Len: 64 -> FACS.aml
4:478  0:009    1. 8CFF7000: 'SSDT', 'XMCC1703', Rev: 2, Len: 17839 -> SSDT-0-XMCC1703.aml
4:489  0:011    2. 8CFF5000: 'MSDM', 'XMCC1703', Rev: 3, Len: 85 -> MSDM.aml
4:498  0:008    3. 8CFF3000: 'SSDT', 'XMCC1703', Rev: 2, Len: 70 -> SSDT-1-XMCC1703.aml
4:506  0:008    4. 8CFEE000: 'SSDT', 'XMCC1703', Rev: 2, Len: 12594 -> SSDT-2-XMCC1703.aml
4:520  0:013    5. 8CFEC000: 'ASPT', 'XMCC1703', Rev: 7, Len: 52 -> ASPT.aml
4:528  0:008    6. 8CFEA000: 'DBGP', 'XMCC1703', Rev: 1, Len: 52 -> DBGP.aml
4:537  0:008    7. 8CFE7000: 'APIC', 'XMCC1703', Rev: 3, Len: 300 -> APIC.aml
4:545  0:008    8. 8CFC3000: 'LPIT', 'XMCC1703', Rev: 1, Len: 148 -> LPIT.aml
4:554  0:008    9. 8CFC1000: 'DBGP', 'XMCC1703', Rev: 1, Len: 52 -> DBGP.aml
4:562  0:008    10. 8CFBC000: 'SSDT', 'XMCC1703', Rev: 2, Len: 2511 -> SSDT-3-XMCC1703.aml
4:572  0:009    11. 8CFB8000: 'DMAR', 'XMCC1703', Rev: 1, Len: 240 -> DMAR.aml
4:580  0:008    12. 8CFFC000: 'UEFI', 'XMCC1703', Rev: 1, Len: 566 -> UEFI.aml
4:588  0:008    13. 8CFF4000: 'SSDT', 'XMCC1703', Rev: 2, Len: 1219 -> SSDT-4-XMCC1703.aml
4:596  0:008    14. 8CFED000: 'ASF!', 'XMCC1703', Rev: 32, Len: 165 -> ASF!.aml
4:605  0:008    15. 8CFE8000: 'HPET', 'XMCC1703', Rev: 1, Len: 56 -> HPET.aml
4:613  0:008    16. 8CFC2000: 'WSMT', 'XMCC1703', Rev: 1, Len: 40 -> WSMT.aml
4:622  0:008    17. 8CFBD000: 'SSDT', 'XMCC1703', Rev: 2, Len: 6062 -> SSDT-5-XMCC1703.aml (Found hidden SSDT 7 pcs)
4:630  0:008        * 8C762018: 'SSDT', 'Cpu0Ist', Rev: 2, Len: 1419  53 53 44 54 8B 05 00 00 02 63 50 6D 52 65 66 00 Internal length = 1419 -> SSDT-x5_0-Cpu0Ist.aml
4:639  0:008        * 8C760018: 'SSDT', 'ApIst', Rev: 2, Len: 3348  53 53 44 54 14 0D 00 00 02 2A 50 6D 52 65 66 00 Internal length = 3348 -> SSDT-x5_1-ApIst.aml
4:647  0:008        * 8C761898: 'SSDT', 'Cpu0Cst', Rev: 2, Len: 1023  53 53 44 54 FF 03 00 00 02 11 50 6D 52 65 66 00 Internal length = 1023 -> SSDT-x5_2-Cpu0Cst.aml
4:655  0:008        * 8C762898: 'SSDT', 'ApCst', Rev: 2, Len: 778  53 53 44 54 0A 03 00 00 02 93 50 6D 52 65 66 00 Internal length = 778 -> SSDT-x5_3-ApCst.aml
4:664  0:008        * 8C762DD8: 'SSDT', 'Cpu0Hwp', Rev: 2, Len: 186  53 53 44 54 BA 00 00 00 02 7D 50 6D 52 65 66 00 Internal length = 186 -> SSDT-x5_4-Cpu0Hwp.aml
4:672  0:008        * 8C75F018: 'SSDT', 'ApHwp', Rev: 2, Len: 791  53 53 44 54 17 03 00 00 02 80 50 6D 52 65 66 00 Internal length = 791 -> SSDT-x5_5-ApHwp.aml
4:683  0:011        * 8C761018: 'SSDT', 'HwpLvt', Rev: 2, Len: 1576  53 53 44 54 28 06 00 00 02 85 50 6D 52 65 66 00 Internal length = 1576 -> SSDT-x5_6-HwpLvt.aml
4:693  0:009  
4:693  0:000    18. 8CFE5000: 'FPDT', 'XMCC1703', Rev: 1, Len: 68 -> FPDT.aml
4:701  0:008    19. 8CFF6000: 'UEFI', 'XMCC1703', Rev: 1, Len: 66 -> UEFI.aml
4:710  0:008    20. 8CFEB000: 'BOOT', 'XMCC1703', Rev: 1, Len: 40 -> BOOT.aml
4:718  0:008    21. 8CFBF000: 'DBG2', 'XMCC1703', Rev: 0, Len: 84 -> DBG2.aml
4:727  0:008    22. 8CFE6000: 'MCFG', 'XMCC1703', Rev: 1, Len: 60 -> MCFG.aml
4:736  0:008    23. 8CFF2000: 'TPM2', 'XMCC1703', Rev: 3, Len: 52 -> TPM2.aml
4:747  0:010    24. 8CFB9000: 'SSDT', 'XMCC1703', Rev: 1, Len: 11240 -> SSDT-6-XMCC1703.aml
4:756  0:009    25. 8CFB7000: 'BGRT', 'XMCC1703', Rev: 1, Len: 56 -> BGRT.aml
4:765  0:008    Tables in Rsdt: 26
4:765  0:000    0. 8CFE9000: 'FACP', 'XMCC1703', Rev: 5, Len: 268
4:765  0:000        (Dsdt: 8CFC4000, Facs: 8CF55000, XDsdt: 8CFC4000, XFacs: 0)
4:765  0:000        8CFC4000: 'DSDT', 'XMCC1703', Rev: 2, Len: 133274
4:769  0:004        8CF55000: 'FACS', Ver: 2, Len: 64
4:769  0:000    1. 8CFF7000: 'SSDT', 'XMCC1703', Rev: 2, Len: 17839
4:769  0:000    2. 8CFF5000: 'MSDM', 'XMCC1703', Rev: 3, Len: 85
4:769  0:000    3. 8CFF3000: 'SSDT', 'XMCC1703', Rev: 2, Len: 70
4:769  0:000    4. 8CFEE000: 'SSDT', 'XMCC1703', Rev: 2, Len: 12594
4:769  0:000    5. 8CFEC000: 'ASPT', 'XMCC1703', Rev: 7, Len: 52
4:769  0:000    6. 8CFEA000: 'DBGP', 'XMCC1703', Rev: 1, Len: 52
4:769  0:000    7. 8CFE7000: 'APIC', 'XMCC1703', Rev: 3, Len: 300
4:769  0:000    8. 8CFC3000: 'LPIT', 'XMCC1703', Rev: 1, Len: 148
